# ChemOrigins full local reaction network cache.
# Generated from reference_reactions/ChemOrigins/raw/reactions/*.json.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
pbr-000001 | Glutamate-synthesis | Glyoxylate + Pyruvate -> 4-hydroxy-2-oxoglutaric acid | none_reported | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000001; 10.1038/s41467-017-02591-0; Linked cycles of oxidative decarboxylation of glyoxylate as protometabolic analogs of the citric acid cycle | source_database
pbr-000002 | Glutamate-synthesis | 4-hydroxy-2-oxoglutaric acid -> H2O + 4-oxopent-2-enedioic acid | Ferrous iron | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000002; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron | source_database
pbr-000003 | Glutamate-synthesis | 4-oxopent-2-enedioic acid -> 2-Oxoglutarate | Ferrous iron | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000003; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron | source_database
pbr-000004 | chemorigins_unassigned | Glyoxylate + 2-Oxoglutarate -> 3-(carboxymethyl)-2-hydroxy-4-oxopentanedioic acid | Ferrous iron | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000004; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron | source_database
pbr-000005 | chemorigins_unassigned | H2O + 3-(carboxymethyl)-2-hydroxy-4-oxopentanedioic acid -> Isocitrate + CO2 | Ferrous iron | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000005; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron | source_database
pbr-000006 | Glycine-synthesis | Isocitrate -> Succinate + Glyoxylate | Ferrous iron | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000006; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron | source_database
pbr-000007 | chemorigins_unassigned | Succinate -> Fumarate | Ferrous iron | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000007; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron | source_database
pbr-000008 | chemorigins_unassigned | H2O + Fumarate -> (S)-Malate | Ferrous iron | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000008; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron | source_database
pbr-000009 | chemorigins_unassigned | (S)-Malate -> Oxaloacetate | none_reported | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000009; 10.1126/sciadv.abh3981; A cyanosulfidic origin of the Krebs cycle | source_database
pbr-000010 | Alanine-synthesis | Oxaloacetate -> CO2 + Pyruvate | Ferrous iron | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000010; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron | source_database
pbr-000011 | chemorigins_unassigned | H2O + 4-hydroxy-2-oxoglutaric acid -> CO2 + (S)-Malate | Ferrous iron | chemorigins_experimental | prebiotic_literature_reaction | ChemOrigins pbr-000011; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron | source_database
