# ChemOrigins supplement for volcanic rock / mineral-surface chemistry
# Generated from reference_reactions/ChemOrigins/extracted/chemorigins_reactions_full.tsv.
# Columns: ID | MODULE | REACTION | CATALYST_OR_CONTROL | RATE_TEMPLATE | ROLE | REFS | CONFIDENCE
pbr-000001 | Glutamate-synthesis | Glyoxylate + Pyruvate -> 4-hydroxy-2-oxoglutaric acid | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000001; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000001 | source_database
pbr-000002 | Glutamate-synthesis | 4-hydroxy-2-oxoglutaric acid -> H2O + 4-oxopent-2-enedioic acid | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000002; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000002 | source_database
pbr-000003 | Glutamate-synthesis | 4-oxopent-2-enedioic acid -> 2-Oxoglutarate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000003; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000003 | source_database
pbr-000004 | volcanic_rock | Glyoxylate + 2-Oxoglutarate -> 3-(carboxymethyl)-2-hydroxy-4-oxopentanedioic acid | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000004; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000004 | source_database
pbr-000005 | volcanic_rock | H2O + 3-(carboxymethyl)-2-hydroxy-4-oxopentanedioic acid -> Isocitrate + CO2 | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000005; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000005 | source_database
pbr-000006 | Glycine-synthesis | Isocitrate -> Succinate + Glyoxylate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000006; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000006 | source_database
pbr-000007 | volcanic_rock | Succinate -> Fumarate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000007; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000007 | source_database
pbr-000008 | volcanic_rock | H2O + Fumarate -> (S)-Malate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000008; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000008 | source_database
pbr-000009 | volcanic_rock | (S)-Malate -> Oxaloacetate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000009; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000009 | source_database
pbr-000010 | Alanine-synthesis | Oxaloacetate -> CO2 + Pyruvate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000010; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000010 | source_database
pbr-000011 | volcanic_rock | H2O + 4-hydroxy-2-oxoglutaric acid -> CO2 + (S)-Malate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000011; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000011 | source_database
pbr-000012 | volcanic_rock | H2O + 4-oxopent-2-enedioic acid -> CO2 + Fumarate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000012; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000012 | source_database
pbr-000013 | volcanic_rock | H2O + 2-Oxoglutarate -> CO2 + Succinate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000013; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000013 | source_database
pbr-000014 | volcanic_rock | Isocitrate -> H2O + cis-Aconitate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000014; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000014 | source_database
pbr-000015 | volcanic_rock | cis-Aconitate + H2O -> Citrate | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000015; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000015 | source_database
pbr-000016 | volcanic_rock | cis-Aconitate -> tricarballylic acid | Ferrous iron | chemorigins_experimental | mineral/metal/surface chemistry | ChemOrigins pbr-000016; 10.1038/s41586-019-1151-1; Synthesis and breakdown of universal metabolic precursors promoted by iron; https://chemorigins.bact.wisc.edu/reactions/pbr-000016 | source_database
